ddn	电信
吴三桂	明朝
对数	生物化学
台湾大学	台湾
异化作用	生物工程
郓城县	山东
电离辐射	科学
imf	国际金融
眼镜	生活
纳米比亚	非洲联盟
乌兹别克斯坦	东欧
贾庆林	博山
升水	外汇
角动量	自然科学
汇率	中央银行
还原卡	硬盘
元谋人	考古
午睡	卫生保健
厄瓜多尔	阿塞拜疆
内人	宫廷
核糖核酸	自然科学
西安电子科技大学	西安
米虫	自然
北部湾	广西
阎锡山	抗日战争
四害	健康
消费税	消费
豆腐	生活
基础油	女性
代销	电子商务
中秋节	生活
官厅水库	张家口
钢丝	生活
乱码	编码
域名	互联网
代词	语言学
请求权	经济法
坦桑尼亚	莱索托
小寨	西安
反函数	科学
海岸	自然
氽	字典
克格勃	苏联
营口	辽宁
无纺布	服装
清徐县	太原
伊尹	商朝
净资产	科学
麻婆豆腐	生活
天心阁	湖南
脱口秀	娱乐
卵胎生	生殖
沙眼	眼睛
澳大利亚	奥运会
汇票	经济法
超链接	科学
蒙毅	秦朝
大骨节病	个人卫生
甘特图	项目管理
径流	生物化学
newcastle	美国
宿州	华东
新陈代谢	病理学
印度尼西亚	东南亚
亚洲	以色列
大岩桐	自然
长葛	河南
厌氧菌	内科学
酮体	自然科学
印花税	财政学
周渝民	音乐
氢键	冶金
刘德华	音乐
质数	数论
逃逸塔	宇宙
核糖核酸	药品
甜点	咖啡
徐才厚	履历
高血压	医药学
贵德县	黄河
李泽楷	香港
多媒体技术	视频
汗牛充栋	汉语
意识形态	哲学理论
意识形态	马克思
果酸	皮肤
乔石	毛泽东
姜熙健	音乐
苍南县	浙江
十字花科	自然
阀门	水利
脂肪	生活
霍去病	西汉
汉族	华夏
袁世凯	军阀
痔	医疗
gpu	显卡
运城	山西
孟村回族自治县	河北
脂肪	自然科学
邻苯二甲酸酐	自然科学
吊兰	自然
拔火罐	卫生保健
阻抗	电学
土库曼斯坦	亚美尼亚
火山岛	自然科学
二极管	自然科学
中华人民共和国国务院	马来西亚
阜阳	华东
颜回	人文
市侩	词典
热干面	信阳
林俊杰	金曲奖
武汉理工大学	天津大学
贝宁	尼日尔
赤道	地球
冯小刚	华谊兄弟
杭州第二中学	杭州
电机	科学知识
光圈	相机
不够	音乐
衣原体	生物医学
麦克马洪线	近代史
系数	多项式
印度尼西亚	菲律宾
渑池县	河南
光圈	镜头
霍英东	传记
自慰	心理
产品	市场营销
方力申	香港
康有为	中国画
肌肉	医疗
毛遂	战国
算法	自然科学
泉州	福建
太湖	江苏省
中国共产党	九三学社
户部巷	美食
褐铁矿	自然科学
疟疾	内科学
长春工程学院	长春
干细胞	内科学
ntfs	硬件
迪拜	阿拉伯
硫酸钾	自然科学
孟买	印度
星团	自然科学
代理服务器	科学
不丹	亚洲
乙烯	自然科学
节理	自然科学
池州	安徽
不等式	分子生物学
河北医科大学	河北
晶闸管	电子科技
污染	生态
牛蒡	自然
南美洲	世界
势能	生物力学
血型	自然科学
白平衡	摄像
客家	福建
杨师道	隋朝
平仄	元曲
三个代表	政治学
单项式	自然科学
iptv	娱乐
慈禧	戊戌变法
金海心	娱乐
血友病	医保
崇仁县	华东
茶叶	绿茶
齐豫	音乐
肖扬	法院
青田县	丽水
水肿	营养学
车辆	摩托车
木星	自然科学
网页	流行语
瑞典	北欧
iptv	宽带
中子星	宇宙
范文澜	孔子
三二联防	篮球
青海湖	青海
蓝牙	无线通讯
